Algorithm,Fitness_Mean,Fitness_StdDev,Fitness_Min,Time_Mean_s,Time_StdDev_s
SPSO,20681.3267578125,1637.8543257316874,17660.171875,2.229247498512268,0.07087310292798128
L-DPSO,15920.6212890625,1053.6654119540242,14337.3857421875,2.18078453540802,0.01141664611504486
C-DPSO,12279.99365234375,628.8911820938617,11280.5107421875,2.2147663831710815,0.01746606548627738
